Date;Price;Open;High;Low;Vol.;Change %;GDPC1_PCH;DFF;Price_USD;Change %_USD;UNRATE;INDPRO;T10YIE;Production_Oil
2003-01-02;31.85;31.6;32.09;31.4;62.48K;2.08%;-0.30972;1.3;102.98;0.0111;5.8;91.1355;1.64;178412.0
2003-01-03;33.08;31.98;33.25;31.9;68.42K;3.86%;-0.30972;1.12;102.47;-5;5.8;91.1355;1.62;178412.0
2003-01-06;32.1;33.08;33.33;31.91;98.25K;-2.96%;-0.30972;1.22;101.97;-0.0049;5.8;91.1355;1.63;178412.0
2003-01-07;31.08;32.11;32.4;30.51;124.28K;-3.18%;-0.30972;1.2;102.57;0.0059;5.8;91.1355;1.62;178412.0
2003-01-08;30.56;31.05;31.3;29.75;108.04K;-1.67%;-0.30972;1.29;101.87;-0.0068;5.8;91.1355;1.71;178412.0
2003-01-09;31.99;30.6;32.05;30.47;111.72K;4.68%;-0.30972;1.29;101.94;0.0007;5.8;91.1355;1.78;178412.0
2003-01-10;31.68;31.99;32.38;31.35;98.56K;-0.97%;-0.30972;1.25;101.23;-0.0069999999999999;5.8;91.1355;1.75;178412.0
2003-01-13;32.26;31.3;32.38;31.13;90.73K;1.83%;-0.30972;1.26;101.47;0.0024;5.8;91.1355;1.77;178412.0
2003-01-14;32.37;32.25;32.9;31.88;114.00K;0.34%;-0.30972;1.24;101.21;-0.0026;5.8;91.1355;1.76;178412.0
2003-01-15;33.21;32.4;33.29;32.28;111.65K;2.59%;-0.30972;1.3;101.34;0.0013;5.8;91.1355;1.8;178412.0
2003-01-16;33.66;33.15;33.98;33.0;71.77K;1.36%;-0.30972;1.24;100.79;-0.0054;5.8;91.1355;1.79;178412.0
2003-01-17;33.91;33.65;34.0;32.9;73.64K;0.74%;-0.30972;1.2;100.55;-0.0024;5.8;91.1355;1.8;178412.0
2003-01-21;34.61;33.76;35.2;33.38;67.09K;2.06%;-0.30972;1.31;100.23;-0.0032;5.8;91.1355;1.78;178412.0
2003-01-22;32.85;33.05;33.44;32.65;84.59K;-5.09%;-0.30972;1.26;100.23;0.0;5.8;91.1355;1.72;178412.0
2003-01-23;32.25;32.86;33.0;31.9;109.02K;-1.83%;-0.30972;1.27;99.86;-0.0037;5.8;91.1355;1.78;178412.0
2003-01-24;33.28;32.25;33.4;32.11;95.52K;3.19%;-0.30972;1.21;99.22;-0.0064;5.8;91.1355;1.8;178412.0
2003-01-27;32.29;33.34;33.53;32.25;88.86K;-2.97%;-0.30972;1.3;99.26;0.0004;5.8;91.1355;1.82;178412.0
2003-01-28;32.67;32.39;32.84;32.29;56.61K;1.18%;-0.30972;1.23;99.48;0.0022;5.8;91.1355;1.81;178412.0
2003-01-29;33.63;32.73;33.85;32.3;98.10K;2.94%;-0.30972;1.26;99.28;-2;5.8;91.1355;1.85;178412.0
2003-01-30;33.85;33.63;33.95;33.34;61.89K;0.65%;-0.30972;1.29;99.52;0.0024;5.8;91.1355;1.8;178412.0
2003-01-31;33.51;33.88;33.88;33.32;92.52K;-1.00%;-0.30972;1.33;99.91;0.0039;5.8;91.1355;1.81;178412.0
2003-02-03;32.76;33.33;33.47;32.65;74.75K;-2.24%;-0.30972;1.3;99.9;-0.0001;5.9;91.2502;1.81;161920.0
2003-02-04;33.58;32.76;33.72;32.55;81.57K;2.50%;-0.30972;1.21;99.14;-0.0076;5.9;91.2502;1.84;161920.0
2003-02-05;33.93;33.53;34.28;33.12;88.32K;1.04%;-0.30972;1.21;99.65;0.0051;5.9;91.2502;1.9;161920.0
2003-02-06;34.16;33.93;34.45;33.78;85.55K;0.68%;-0.30972;1.23;99.46;-0.0019;5.9;91.2502;1.88;161920.0
2003-02-07;35.12;34.12;35.25;34.12;99.48K;2.81%;-0.30972;1.21;99.57;0.0011;5.9;91.2502;1.89;161920.0
2003-02-10;34.48;34.9;35.38;34.3;90.53K;-1.82%;-0.30972;1.25;100.27;0.0069999999999999;5.9;91.2502;1.93;161920.0
2003-02-11;35.44;34.55;35.6;34.34;95.20K;2.78%;-0.30972;1.22;100.39;0.0012;5.9;91.2502;1.93;161920.0
2003-02-12;35.77;35.4;35.95;35.1;113.20K;0.93%;-0.30972;1.23;100.51;0.0012;5.9;91.2502;1.89;161920.0
2003-02-13;36.36;35.7;36.4;35.7;95.54K;1.65%;-0.30972;1.28;99.59;-0.0092;5.9;91.2502;1.88;161920.0
2003-02-14;36.8;36.49;36.85;35.88;86.11K;1.21%;-0.30972;1.3;100.04;0.0045;5.9;91.2502;1.92;161920.0
2003-02-18;36.96;36.38;37.05;36.0;47.15K;0.43%;-0.30972;1.35;100.53;0.0049;5.9;91.2502;1.89;161920.0
2003-02-19;37.16;36.71;37.45;36.36;61.38K;0.54%;-0.30972;1.24;100.0;-0.0053;5.9;91.2502;1.89;161920.0
2003-02-20;36.79;37.21;37.55;36.1;50.52K;-1.00%;-0.30972;1.25;99.55;-0.0045;5.9;91.2502;1.94;161920.0
2003-02-21;35.58;34.8;35.95;34.7;76.70K;-3.29%;-0.30972;1.21;100.09;0.0054;5.9;91.2502;1.97;161920.0
2003-02-24;36.48;35.47;36.52;35.47;71.13K;2.53%;-0.30972;1.25;99.66;-0.0043;5.9;91.2502;1.99;161920.0
2003-02-25;36.06;36.53;37.1;35.9;111.12K;-1.15%;-0.30972;1.28;99.83;0.0017;5.9;91.2502;1.97;161920.0
2003-02-26;37.7;36.06;37.93;35.96;122.30K;4.55%;-0.30972;1.28;99.62;-0.0021;5.9;91.2502;1.94;161920.0
2003-02-27;37.2;37.8;39.99;37.1;158.96K;-1.33%;-0.30972;1.31;99.81;0.0019;5.9;91.2502;1.94;161920.0
2003-02-28;36.6;37.22;37.55;36.3;95.70K;-1.61%;-0.30972;1.33;99.71;-1;5.9;91.2502;1.94;161920.0
2003-03-03;35.88;36.45;36.45;35.36;68.66K;-1.97%;-0.30972;1.33;99.1;-0.0060999999999999;5.9;91.0059;1.91;179907.0
2003-03-04;36.89;35.92;37.18;35.92;81.81K;2.81%;-0.30972;1.2;99.13;0.0003;5.9;91.0059;1.88;179907.0
2003-03-05;36.69;36.9;37.48;35.9;87.73K;-0.54%;-0.30972;1.22;98.28;-0.0086;5.9;91.0059;1.88;179907.0
2003-03-06;37.0;36.81;37.2;36.5;61.13K;0.84%;-0.30972;1.23;98.31;0.0003;5.9;91.0059;1.93;179907.0
2003-03-07;37.78;37.1;37.84;36.8;76.89K;2.11%;-0.30972;1.2;98.04;-0.0027;5.9;91.0059;1.91;179907.0
2003-03-10;37.27;37.78;38.2;37.1;77.50K;-1.35%;-0.30972;1.23;97.85;-0.0019;5.9;91.0059;1.9;179907.0
2003-03-11;36.72;37.25;37.45;36.33;86.10K;-1.48%;-0.30972;1.21;97.99;0.0014;5.9;91.0059;1.92;179907.0
